1,1,ataque,Aumenta la fuerza de ataque.
2,1,instigador,Aumenta la fuerza de ataque y la afinidad cuando los monstruos grandes se enfurecen.
3,1,plena forma,Aumenta el ataque cuando la salud está completa.
4,1,resentimiento,Aumenta el ataque cuando se activa el daño temporal (la parte roja de la barra de salud).
5,1,resistencia,Aumenta la fuerza de ataque cuando sufres un estado alterado.
6,1,ojo critico,Aumenta la afinidad.
7,1,potenciador de criticos,Aumenta el daño de golpes críticos.
8,1,punto debil,Aumenta la afinidad de los ataques que aprovechan el punto débil de un monstruo.
9,1,poder latente,Aumenta temporalmente la afinidad y reduce el gasto de resistencia al cumplir con ciertas condiciones.
10,1,afinidad,Aumenta la afinidad mientras la resistencia esté llena durante cierto tiempo.
11,1,elemento critico,"Aumenta el daño elemental (fuego, agua, rayo, hielo, draco) cuando es resultado de un crítico."
12,1,ataque de fuego,Potencia los ataques de fuego. (La potencia de ataque elemental tiene un límite máximo).
13,1,ataque de agua,Potencia los ataques de agua. (La potencia de ataque elemental tiene un límite máximo).
14,1,ataque de hielo,Potencia los ataques de hielo. (La potencia de ataque elemental tiene un límite máximo).
15,1,ataque de rayo,Potencia los ataques de rayo. (La potencia de ataque elemental tiene un límite máximo).
16,1,ataque de draco,Potencia los ataques de draco. (La potencia de ataque elemental tiene un límite máximo).
17,1,ataque venenoso,Potencia los ataques venenosos. (La potencia de ataque elemental tiene un límite máximo).
18,1,ataque paralizante,Potencia los ataques paralizantes. (La potencia de ataque elemental tiene un límite máximo).
19,1,ataque de sueño,Potencia los ataques de sueño. (La potencia de ataque elemental tiene un límite máximo).
20,1,ataque nitro,Potencia los ataques nitro. (La potencia de ataque elemental tiene un límite máximo).
21,1,artesania,"Extiende la barra de afilado del arma, pero no lo hará más allá de su máximo predeterminado."
22,1,filo de cuchilla,Evita que el arma pierda filo.
23,1,tiro extra,"Para arcos y ballestas, a veces disparas sin gastar viales ni munición."
24,1,acabado protector,El filo del arma no disminuye durante un tiempo tras afilarla.
25,1,ojo mental,Tus ataques fallan menos y causan más daño a objetivos duros.
26,1,precision,La munición y flechas alcanzan la máxima potencia en una distancia más corta.
27,1,impacto mejorado,Aumenta la fuerza de ataque cuando el afilado de tu arma es bajo.
28,1,arquero maestro,Aumenta en 1 el nivel de carga del arco.
29,1,tiempo de carga,"Carga los indicadores de armas rápidamente, así como los ataques cargados con armas que lo permitan."
30,1,carga prolongada,"Espadas largas y dobles, glaives insecto, hachas espada y cargadas duran cargadas más tiempo."
31,1,esprint,"Reduce el gasto de resistencia para acciones que la consumen gradualmente, como esprintar."
32,1,constitucion,"Disminuye el gasto de resistencia al esquivar, bloquear o hacer otras ciertas acciones."
33,1,adrenalina,Aumenta la velocidad de recuperación de tu resistencia.
34,1,guardia mejorada,Reduce la distancia que retrocedes y el gasto de resistencia al bloquear ataques.
35,1,escudo,Permite protegerse de ataques que normalmente no se pueden bloquear.
36,1,bloqueo agresivo,Aumenta el poder de ataque de manera temporal tras realizar un bloqueo perfecto.
37,1,desenfundar,Aumenta la afinidad durante un tiempo tras un ataque al desenfundar. (Los ataques de cordoamarre no cuentan).
38,1,pena inmediata,Añade efecto aturdidor a los ataques al desenfundar y aumenta un poco el ataque. (Los ataques de cordoamarre no cuentan).
39,1,desenfunde veloz,Aumenta la velocidad al desenfundar el arma equipada.
40,1,aturdir,Facilita el aturdimiento de monstruos.
41,1,agotador,Aumenta la posibilidad de que ciertos ataques agoten a los monstruos.
42,1,afinidad deslizante,Deslizarse aumenta la afinidad un tiempo.
43,1,musico,Aumenta la rapidez al tocar en general y el daño de la onda de choque.
44,1,artilleria,"Potencia ataques explosivos, como proyectiles, fuego de wyvern, viales del hacha cargada y disparos explosivos."
45,1,cargar arma,"Mejora la recarga y capacidad de munición de la lanza pistola, y la capacidad de viales del hacha cargada."
46,1,tiro especial,Aumenta el poder del tiro especial de la ballesta y perforadragones.
47,1,normal/salva+,Aumenta la potencia de los disparos con munición normal y salva de flechas.
48,1,perforante+,Aumenta el poder de la munición perforante y flechas perforantes.
49,1,abanico+,Aumenta el poder de D abanico y de las flechas en abanico.
50,1,municion+,Mejora la capacidad de carga de la ballesta. (Hasta un cierto límite).
51,1,recarga,Mejora la recarga de la ballesta y la velocidad de carga de viales del arco.
52,1,cadencia,Reduce el retroceso al disparar munición de ballesta.
53,1,estabilidad,Suprime el desvío de los disparos de la ballesta.
54,1,disparo multiple,Mejora el fuego rápido de la ballesta ligera.
55,1,aumento defensivo,Aumenta la defensa. A niveles altos mejora también las resistencias elementales.
56,1,bendicion divina,Posibilidad predeterminada de reducir el daño recibido.
57,1,recuperacion,Aumenta la cantidad de salud recuperada al usar un objeto curativo.
58,1,recuperacion rapida,Acelera la recuperación de daño temporal (la parte roja de la barra de salud).
59,1,consumir,Aumenta la velocidad al comer carne y consumir objetos.
60,1,tapones,Protege contra los rugidos de monstruos grandes.
61,1,antiviento,Reduce o anula los efectos de las ráfagas de viento.
62,1,antitemblores,Protege contra los temblores de tierra.
63,1,danza burbujeante,Reduce la plaga de burbujas y otorga una mayor evasión al verse afectado.
64,1,intervalo evasivo,Extiende el periodo de invulnerabilidad al esquivar.
65,1,distancia evasiva,Aumenta la distancia de evasión.
66,1,antifuego,Aumenta la resistencia al fuego. En niveles más altos también mejora la defensa.
67,1,antiagua,Aumenta la resistencia al agua. En niveles más altos también mejora la defensa.
68,1,antihielo,Aumenta la resistencia al hielo. En niveles más altos también mejora la defensa.
69,1,antirrayo,Aumenta la resistencia al rayo. En niveles más altos también mejora la defensa.
70,1,antidraco,Aumenta la resistencia al draco. En niveles más altos también mejora la defensa.
71,1,antiplagas,Otorga protección contra todas las plagas elementales.
72,1,antiveneno,Reduce el daño al estar envenenado.
73,1,antiparalisis,Reduce o elimina los efectos de la parálisis.
74,1,antisueño,Reduce o elimina los efectos del sueño.
75,1,antiaturdimiento,Reduce la duración del aturdimiento.
76,1,antifango,Reduce la falta de movilidad al estar atrapado en fango de monstruo o nieve profunda.
77,1,antinitro,Otorga protección contra la plaga de nitro.
78,1,botanico,Aumenta la cantidad de hierbas y otros objetos consumibles que se obtienen al extraer recursos.
79,1,geologo,Aumenta la cantidad de veces que se puede usar un punto de recolección.
80,1,rompepartes,Facilita el partir o romper algunas partes de monstruos grandes.
81,1,maestro capturas,Mejora la probabilidad de recibir objetos extra en recompensas de captura. (No aplicable si la misión ya ha empezado).
82,1,afortunado,Buena probabilidad de recibir objetos extra en recompensas de misión. (No aplicable si la misión ya ha empezado).
83,1,afilado rapido,Aumenta la velocidad de afilado del arma al usar una piedra de afilar.
84,1,bombardero,Aumenta el daño de los objetos explosivos.
85,1,experto en setas,Permite digerir setas no comestibles y beneficiarse de sus efectos.
86,1,duracion de objetos,Aumenta la duración del efecto de algunos objetos.
87,1,efecto area,Permite que el efecto de ciertos objetos también afecte a aliados cercanos.
88,1,comida gratis,Ofrece una probabilidad determinada de consumir un objeto de comida o bebida gratis.
89,1,heroicidad,Aumenta el poder de ataque y la defensa cuando la salud baja al 35 % o menos.
90,1,fortalecer,Aumenta el ataque y la defensa al caer en combate. (No aplicable en ciertas misiones. Acumulable hasta dos veces).
91,1,mejora de balance,Previene reacciones a pequeños ataques como ser empujado hacia atrás.
92,1,experto en salto,Evita que los ataques te interrumpan mientras saltas.
93,1,experto cortador,Evita que te derriben mientras cortas partes de monstruos.
94,1,gasto resistencia,Reduce el gasto de resistencia máximo a lo largo del tiempo.
95,1,mejora de salto,"Permite esquivar lanzándose al estar de cara a monstruos grandes, y alarga la distancia de esquive."
96,1,distraccion,Permite llamar más la atención al atacar a un monstruo.
97,1,as de la monta,Mejora las habilidades de montura wyvern.
98,1,domacordopteros,Mejora tu manejo de los cordópteros.
99,1,correparedes,Reduce el consumo de resistencia al correr por las paredes.
100,1,contraataque,Aumenta el poder de ataque de manera temporal tras salir despedido.
101,1,mutacion rapida,Aumenta la velocidad de cambio y la fuerza de ataque de las hachas espada y las hachas cargadas.
102,1,manto infernal,Otorga resistencia al fuego y poder explosivo de fuego a los ataques.
103,1,viento unificado,Otorga el poder del dragón anciano Ibushi de viento.
104,1,rayo unificado,Otorga el poder del dragón anciano Narwa de trueno.